City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vilyuchinsk,52.9306,158.4028,25.150000000000034,61,55,6.86,RU,1690167144
1,calama,-22.4667,-68.9333,12.420000000000016,19,22,3.28,CL,1690166894
2,zalingei,12.9096,23.4741,23.840000000000032,65,9,0.66,SD,1690167144
3,gadzhiyevo,69.2551,33.3362,9.310000000000002,95,100,6.2,RU,1690167145
4,novyy urengoy,66.0833,76.6333,23.510000000000048,53,19,1.37,RU,1690166878
5,la ronge,55.1001,-105.2842,22.120000000000005,46,75,2.57,CA,1690167145
6,port-aux-francais,-49.35,70.2167,5.82000000000005,95,100,17.09,TF,1690167145
7,adamstown,-25.066,-130.1015,20.760000000000048,69,100,7.86,PN,1690167146
8,nemuro,43.3236,145.575,17.810000000000002,92,98,6.22,JP,1690167146
9,ust-nera,64.5667,143.2,19.25,46,98,1.92,RU,1690167147
10,papatowai,-46.5619,169.4708,9.629999999999995,87,93,0.97,NZ,1690167147
11,margaret river,-33.95,115.0667,16.870000000000005,60,22,8.67,AU,1690167148
12,meulaboh,4.1363,96.1285,27.950000000000045,70,80,0.77,ID,1690167148
13,le beausset,43.1985,5.8016,24.350000000000023,56,36,1.34,FR,1690167148
14,shadegan,30.6497,48.6647,30.970000000000027,10,4,3.55,IR,1690167149
15,hermanus,-34.4187,19.2345,11.04000000000002,65,69,2.97,ZA,1690167149
16,port alfred,-33.5906,26.891,10.660000000000025,80,17,3.58,ZA,1690167149
17,blackmans bay,-43.0167,147.3167,14.29000000000002,60,100,3.57,AU,1690167149
18,edinburgh of the seven seas,-37.0676,-12.3116,13.470000000000027,77,66,11.51,SH,1690167150
19,yellowknife,62.456,-114.3525,21.29000000000002,43,100,1.54,CA,1690167150
20,bathsheba,13.2167,-59.5167,28.340000000000032,78,75,7.72,BB,1690167150
21,anadyr,64.75,177.4833,13.28000000000003,87,100,7.0,RU,1690167151
22,sliven,42.6858,26.3292,18.200000000000045,83,0,0.53,BG,1690167151
23,east london,-33.0153,27.9116,13.720000000000027,66,68,7.66,ZA,1690167116
24,afaahiti,-17.75,-149.2833,25.930000000000007,81,91,4.56,PF,1690167152
25,port elizabeth,-33.918,25.5701,12.160000000000025,66,20,7.72,ZA,1690167063
26,isafjordur,66.0755,-23.124,10.810000000000002,87,99,1.5,IS,1690167152
27,rechka-vydrino,51.485,104.8461,14.450000000000045,97,100,2.31,RU,1690167153
28,west island,-12.1568,96.8225,25.99000000000001,78,100,7.2,CC,1690167153
29,tiksi,71.6872,128.8694,9.600000000000023,63,79,2.12,RU,1690167153
30,thompson,55.7435,-97.8558,19.090000000000032,48,20,1.03,CA,1690167153
31,oum hadjer,13.2954,19.6966,28.600000000000023,61,55,3.96,TD,1690167154
32,invercargill,-46.4,168.35,10.310000000000002,83,85,0.33,NZ,1690167116
33,luganville,-15.5333,167.1667,24.55000000000001,84,96,4.53,VU,1690167154
34,hithadhoo,-0.6,73.0833,28.379999999999995,76,39,4.87,MV,1690167155
35,igarka,67.4667,86.5833,20.730000000000018,70,90,1.06,RU,1690167155
36,bethel,41.3712,-73.414,24.810000000000002,76,0,0.0,US,1690167140
37,puerto ayora,-0.7393,-90.3518,24.79000000000002,84,23,3.35,EC,1690167155
38,farafangana,-22.8167,47.8333,18.360000000000014,93,9,1.89,MG,1690167156
39,staryye ozinki,51.1786,49.6769,18.810000000000002,75,74,3.47,RU,1690167156
40,khovd,48.0056,91.6419,22.99000000000001,23,30,1.4,MN,1690167156
41,thunder bay,48.4001,-89.3168,18.99000000000001,88,75,3.09,CA,1690166912
42,hamilton,39.1834,-84.5333,22.470000000000027,81,0,3.6,US,1690167106
43,hoshcha,50.6003,26.6744,15.689999999999998,73,85,4.39,UA,1690167158
44,chinchilla,-26.75,150.6333,17.52000000000004,43,100,8.68,AU,1690167158
45,luau,-10.7073,22.2247,15.129999999999995,52,0,1.66,AO,1690167118
46,udachny,66.4167,112.4,21.360000000000014,56,100,5.95,RU,1690167158
47,waitangi,-43.9535,-176.5597,12.120000000000005,96,99,2.68,NZ,1690167159
48,bilibino,68.0546,166.4372,16.33000000000004,66,100,1.15,RU,1690167159
49,mengcheng chengguanzhen,33.2661,116.566,34.360000000000014,54,21,1.03,CN,1690167159
50,albany,42.6001,-73.9662,22.230000000000018,80,21,1.58,US,1690167160
51,severo-yeniseyskiy,60.3725,93.0408,24.960000000000036,46,37,0.87,RU,1690167161
52,avarua,-21.2078,-159.775,26.03000000000003,78,20,7.2,CK,1690167161
53,puerto natales,-51.7236,-72.4875,-4.819999999999993,93,68,1.49,CL,1690167134
54,kerikeri,-35.2268,173.9474,18.28000000000003,73,22,2.24,NZ,1690167161
55,meybod,32.2501,54.0166,30.010000000000048,14,68,3.09,IR,1690167162
56,klaksvik,62.2266,-6.589,7.510000000000048,81,100,6.01,FO,1690167162
57,tidjikja,18.5564,-11.4271,31.610000000000014,42,3,3.25,MR,1690167162
58,puerto cortez,15.8333,-87.95,27.340000000000032,85,63,5.0,HN,1690167163
59,wailua homesteads,22.0669,-159.378,29.24000000000001,86,75,7.2,US,1690167163
60,simanggang,1.2472,111.4528,28.99000000000001,83,20,1.03,MY,1690167163
61,shunyi,40.125,116.6453,28.970000000000027,74,20,1.0,CN,1690167163
62,mezhdurechenskiy,59.6,65.9333,15.330000000000041,97,100,3.25,RU,1690167164
63,longmen,24.9597,118.0889,32.34000000000003,60,100,1.55,CN,1690167164
64,kushiro,42.975,144.3747,22.53000000000003,94,75,4.12,JP,1690167164
65,strezhevoy,60.7333,77.5889,23.970000000000027,48,44,1.11,RU,1690167165
66,the dalles,45.5946,-121.1787,30.670000000000016,36,71,8.49,US,1690167165
67,aasiaat,68.7098,-52.8699,2.75,99,100,2.73,GL,1690167165
68,ushuaia,-54.8,-68.3,-2.1899999999999977,80,20,4.12,AR,1690167165
69,cidreira,-30.1811,-50.2056,16.120000000000005,93,29,2.64,BR,1690167166
70,iqaluit,63.7506,-68.5145,5.850000000000023,86,75,4.63,CA,1690167166
71,chatillon-sur-seiche,48.0345,-1.6711,16.08000000000004,94,100,3.09,FR,1690167167
72,college,64.8569,-147.8028,30.970000000000027,44,20,1.54,US,1690167168
73,katsuren-haebaru,26.3369,127.8719,32.43000000000001,72,75,5.66,JP,1690167168
74,sinabang,2.4803,96.3801,28.430000000000007,69,95,0.45,ID,1690167169
75,sentilj v slov. goricah,46.6817,15.6481,18.210000000000036,91,4,1.3,SI,1690167169
76,port mathurin,-19.6833,63.4167,23.230000000000018,73,35,7.39,MU,1690167171
77,mawlamyinegyunn,16.3833,95.2667,29.200000000000045,72,36,2.16,MM,1690167171
78,stanley,54.868,-1.6985,10.5,92,20,2.57,GB,1690167171
79,happy valley-goose bay,53.3168,-60.3315,19.170000000000016,88,75,2.57,CA,1690167161
80,seryshevo,51.0933,128.3786,18.910000000000025,92,100,4.17,RU,1690167172
81,olonkinbyen,70.9221,-8.7187,4.5400000000000205,93,100,5.58,SJ,1690167173
82,oyama,36.3,139.8,32.55000000000001,32,100,2.83,JP,1690167173
83,mohammedia,33.7066,-7.3944,23.07000000000005,100,98,1.54,MA,1690167173
84,colonia,50.9333,6.95,19.30000000000001,85,100,2.57,DE,1690167001
85,lahaina,20.8783,-156.6825,31.0,86,40,4.42,US,1690167174
86,talnakh,69.4865,88.3972,17.340000000000032,71,99,0.78,RU,1690167174
87,touros,-5.1989,-35.4608,23.420000000000016,84,11,6.09,BR,1690167174
88,minas de marcona,-15.2119,-75.1103,12.550000000000011,87,53,4.94,PE,1690167175
89,tsiombe,-25.3,45.4833,16.600000000000023,95,0,2.49,MG,1690167175
90,ancud,-41.8697,-73.8203,4.230000000000018,84,100,3.13,CL,1690167122
91,tura,25.5198,90.2201,27.439999999999998,88,95,1.88,IN,1690167176
92,port augusta,-32.5,137.7667,15.390000000000043,53,5,5.48,AU,1690167176
93,hawaiian paradise park,19.5933,-154.9731,27.730000000000018,84,100,4.12,US,1690167176
94,fada,9.5667,8.3,19.75,95,100,0.72,NG,1690167176
95,mzimba,-11.9,33.6,13.300000000000011,83,0,3.09,MW,1690167177
96,constantia,44.1833,28.65,17.610000000000014,70,0,3.12,RO,1690166923
97,saipan,15.1355,145.701,29.80000000000001,100,100,7.72,MP,1690167178
98,guiping,23.3925,110.0814,32.02000000000004,58,90,1.83,CN,1690167178
99,lebu,-37.6167,-73.65,8.360000000000014,86,55,2.76,CL,1690167178
100,punta arenas,-53.15,-70.9167,-1.8999999999999773,84,9,2.41,CL,1690166923
101,nagqu,31.5,92.0,1.8400000000000318,99,100,1.58,CN,1690167179
102,kirakira,-10.4544,161.9205,25.670000000000016,90,100,3.07,SB,1690167179
103,ascension,30.2169,-90.9001,28.379999999999995,81,40,1.54,US,1690167179
104,qaqortoq,60.7167,-46.0333,8.830000000000041,88,29,1.68,GL,1690167180
105,lorengau,-2.0226,147.2712,29.090000000000032,68,98,2.21,PG,1690167180
106,lucea,18.451,-78.1736,29.920000000000016,82,0,3.77,JM,1690167180
107,thakhek,17.4103,104.8307,29.060000000000002,65,9,1.8,LA,1690167180
108,lakatoro,-16.0999,167.4164,25.140000000000043,74,81,3.99,VU,1690167181
109,krasnovishersk,60.4078,57.082,16.02000000000004,75,28,1.65,RU,1690167181
110,kingston,17.997,-76.7936,29.53000000000003,72,20,6.69,JM,1690166964
111,murzuq,25.9155,13.9184,28.910000000000025,15,47,4.54,LY,1690167182
112,shamsabad,27.0167,78.1333,32.710000000000036,56,100,4.04,IN,1690167182
113,aral,40.5156,81.2636,32.80000000000001,22,88,3.19,CN,1690167182
114,collie,-33.3667,116.15,16.960000000000036,36,0,4.67,AU,1690167183
115,labrador city,52.9463,-66.9114,14.950000000000045,94,75,1.54,CA,1690167183
116,kapuskasing,49.4169,-82.4331,16.05000000000001,94,100,4.63,CA,1690167183
117,aykhal,66.0,111.5,22.920000000000016,59,100,7.05,RU,1690167184
118,tadine,-21.55,167.8833,21.120000000000005,49,63,2.45,NC,1690167184
119,palmer,42.1584,-72.3287,21.390000000000043,81,0,0.0,US,1690167184
120,grytviken,-54.2811,-36.5092,-6.229999999999961,77,37,3.23,GS,1690167185
121,souillac,-20.5167,57.5167,22.210000000000036,83,75,5.14,MU,1690167185
